Fichier;Numéro de ligne;Contenu de la ligne;Criticité;Problème rencontré
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;11;ui(new Ui::ExternalToolParameterDialog);Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;11;ui(new Ui::ExternalToolParameterDialog);Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;11;ui(new Ui::ExternalToolParameterDialog);Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;11;ui(new Ui::ExternalToolParameterDialog);Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;13;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;13;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;13;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;13;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;13;ui->setupUi(this);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;43;ui->verticalLayout->setGeometry(QRect(X_SHIFT,;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;43;ui->verticalLayout->setGeometry(QRect(X_SHIFT,;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;43;ui->verticalLayout->setGeometry(QRect(X_SHIFT,;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;43;ui->verticalLayout->setGeometry(QRect(X_SHIFT,;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;43;ui->verticalLayout->setGeometry(QRect(X_SHIFT,;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;61;ui->label_excelPath->setText(EXCEL_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;61;ui->label_excelPath->setText(EXCEL_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;61;ui->label_excelPath->setText(EXCEL_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;61;ui->label_excelPath->setText(EXCEL_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;61;ui->label_excelPath->setText(EXCEL_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;62;ui->label_cppCheckPath->setText(CPP_CHECK_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;62;ui->label_cppCheckPath->setText(CPP_CHECK_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;62;ui->label_cppCheckPath->setText(CPP_CHECK_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
D:/Akka/CodingRulesChecker-masterV2/CodingRulesChecker-master/externaltoolparameterdialog.cpp;62;ui->label_cppCheckPath->setText(CPP_CHECK_PATH_LABEL);;Majeur;Le pointeur n'est pas entouré d'un block if !
